outcome,onCampus,loan,scholarship,firstgen,act,ap,remedial,ratio,cdw_count
Did not Graduate,1,0,0,1,27,0,0,106.25,1
Graduated,0,1.294,0,0,21,0,0,100,0
Graduated,1,0,1.5,1,30,0,0,100,0
Graduated,1,0,0,0,21,0,0,100,1
Graduated,1,1.294,0,1,23,4,0,100,1
Graduated,0,0,0,1,21,0,0,100,2
Graduated,1,0,0,1,22,0,0,100,2
Graduated,1,0.345,0,1,31,0,0,100,0
Did not Graduate,0,0,0,1,16,0,1,73.333344,4
Graduated,1,0,2.5,0,34,0,0,100,0
Graduated,1,0,0,1,25,23,0,100,0
Graduated,1,0,0,1,28,4,0,100,2
Graduated,1,0,0,1,27,8,0,100,0
Graduated,1,0,0,1,26,0,0,100,0
Graduated,1,0,2.5,1,31,31,0,100,0
Graduated,1,6.1690001,0,1,33,8,0,100,0
Did not Graduate,1,0,0,1,24,0,0,53.33334,2
Did not Graduate,1,1.319,0,1,16,0,1,100,3
Did not Graduate,1,0,0.5,1,29,15,0,0,0
Graduated,1,0,0,0,29,4,0,76.470589,3
Graduated,0,0,0,1,26,14,0,75,2
Graduated,0,0,0,1,24,0,0,100,1
Did not Graduate,1,4.224,0,0,27,0,0,100,2
Graduated,1,0,0,0,23,0,0,100,2
Graduated,1,0,4,1,29,8,0,100,0
Graduated,1,0,0,1,24,0,0,100,1
Graduated,1,7.0619998,0,1,29,30,0,100,0
Graduated,1,1.294,0,1,24,0,0,100,0
Did not Graduate,1,2.289,0,1,16,0,1,53.846161,2
Did not Graduate,0,6.3969998,0,0,21,0,0,100,2
Did not Graduate,1,0,0,0,24,4,0,100,2
Transferred,0,1.73,0,1,21,0,0,69.230766,1
Did not Graduate,1,2.506,0,0,18,0,0,78.571426,2
Graduated,1,0,0,1,21,0,0,100,2
Graduated,1,5.1939998,0,1,24,0,0,100,0
Graduated,0,2.4890001,0,0,25,0,0,100,2
Did not Graduate,1,4,0,0,22,0,0,84.615387,0
Graduated,1,0,0,1,28,4,0,100,0
Graduated,1,6.8109999,0,1,31,4,0,100,0
Did not Graduate,0,1.5,0,1,28,0,0,73.333344,0
Did not Graduate,0,0.98500001,0,1,14,0,1,100,3
Transferred,1,5.1199999,0,1,24,21,0,100,1
Graduated,1,4.9559999,1.5,1,27,4,0,100,0
Graduated,1,3.244,1.5,1,29,8,0,100,0
Graduated,1,1.7819999,0,1,23,0,0,75,4
Graduated,1,1.294,0,1,31,12,0,100,0
Graduated,0,1.295,0,0,21,0,1,100,0
Did not Graduate,1,7.1170001,0,0,23,0,0,64.285713,2
Graduated,1,0,0,1,30,8,0,81.25,2
Did not Graduate,1,0,0,1,25,0,0,76.470589,1
Graduated,1,7.4720001,0,1,28,12,0,100,1
Transferred,1,3.5439999,0,1,29,7,0,100,4
Graduated,0,2.513,1.5,1,32,4,0,100,0
Transferred,1,0,0,1,26,0,0,100,1
Graduated,1,0,0,1,25,0,0,78.571426,2
Graduated,1,5.7680001,0,0,26,7,0,100,0
Graduated,1,0,1.5,1,23,0,0,100,1
Graduated,1,1.268,0,0,23,0,0,100,0
Graduated,1,6.6570001,0,1,27,4,0,82.352943,2
Graduated,1,0,0,0,22,0,0,100,0
Did not Graduate,1,2.7939999,0,1,26,0,0,100,2
Graduated,1,3.2650001,1,0,17,6,1,75,1
Graduated,1,6.9640002,0,1,29,0,0,100,0
Graduated,1,0,0,1,26,8,0,100,0
Graduated,1,0,0,1,29,12,0,100,0
Graduated,1,0,0,1,27,0,0,100,0
Graduated,1,3.5439999,0,1,20,0,0,100,4
Graduated,1,0,0,0,18,0,0,100,1
Graduated,1,3.737,1.5,1,28,10,0,100,0
Graduated,1,0,0,1,30,4,0,100,0
Graduated,1,0,1.5,1,28,0,0,100,0
Transferred,0,0,0,1,31,34,0,0,0
Graduated,1,0,0,0,24,0,0,100,1
Transferred,1,0,0,1,26,4,0,100,0
Graduated,1,0,0,0,19,0,1,73.333344,2
Did not Graduate,1,0,0,1,23,0,0,71.428574,2
Graduated,1,0,0,1,27,4,0,100,0
Did not Graduate,1,0,0,0,23,0,1,100,0
Graduated,1,0,0,1,30,8,0,100,0
Graduated,1,7.1490002,0,1,26,10,0,100,1
Did not Graduate,1,0,0,0,25,6,0,100,3
Graduated,1,0,0,1,22,0,0,100,0
Graduated,0,0,2.5,1,28,0,0,125,0
Transferred,1,0.917,0,0,13,0,1,100,2
Did not Graduate,1,2.4330001,0,1,22,0,1,0,0
Graduated,1,1.645,0,1,28,8,0,61.53846,3
Graduated,0,0,0,1,22,0,0,100,0
Graduated,1,0,0,1,30,0,0,73.333344,2
Graduated,1,2.2690001,0,0,25,0,0,100,0
Graduated,1,0,0,1,26,12,0,92.85714,1
Did not Graduate,1,0,0,0,21,0,0,20,1
Graduated,1,0,0,1,26,0,0,100,0
Graduated,1,1.294,0,1,27,10,0,100,0
Did not Graduate,0,0,0,0,20,0,0,100,2
Graduated,1,0,2.5,1,29,0,0,94.444443,3
Graduated,1,0,0,0,18,0,0,100,2
Did not Graduate,1,4.5500002,0,1,22,0,0,76.92308,4
Graduated,1,3.5439999,0,0,27,0,0,100,0
Transferred,1,0,0,1,24,0,0,76.470589,2
Graduated,1,0,0,1,29,4,0,100,1
Graduated,1,3.5439999,0,1,17,0,1,66.666672,2
Graduated,0,1.281,2.5,1,30,4,0,100,0
Graduated,1,1.294,0,1,24,0,0,100,0
Graduated,1,0.92900002,2.5,0,27,11,0,100,0
Graduated,1,0,0,1,30,11,0,100,0
Graduated,1,3.5439999,1.5,1,32,8,0,100,1
Graduated,1,0,0,0,25,0,0,100,0
Graduated,1,0,0,0,31,8,0,100,0
Graduated,0,1.294,0,1,28,8,0,100,1
Did not Graduate,0,0,0,1,29,21,0,84.615387,2
Did not Graduate,1,0,0,1,24,0,0,92.85714,2
Graduated,0,4.5970001,0,0,23,0,1,87.5,1
Did not Graduate,0,2.0810001,0,0,15,0,0,100,3
Graduated,1,4.8889999,1,1,27,4,0,100,0
Graduated,1,0,0.75,1,24,4,0,100,0
Graduated,1,6.3429999,0,0,23,0,0,100,0
Graduated,1,0,0,1,33,0,0,100,0
Graduated,0,2.7939999,0,1,23,0,0,100,0
Graduated,1,7.6370001,0,1,24,0,0,100,2
Graduated,1,0,1.5,1,31,0,0,100,0
Graduated,0,0,0,1,28,0,0,100,0
Did not Graduate,1,2.0739999,0,0,21,0,1,100,3
Graduated,1,0.5,0,1,26,0,0,100,1
Graduated,1,0,1.5,1,30,13,0,100,0
Graduated,1,0,0,1,30,11,0,80,1
Graduated,1,0,0,1,26,0,0,100,0
Graduated,1,1.294,0,1,26,0,0,100,0
Graduated,0,0,0,1,29,0,0,100,1
Graduated,0,0,0,1,24,0,0,100,3
Transferred,1,0,0,0,26,4,0,100,1
Graduated,0,0,0,1,26,0,0,100,1
Graduated,1,4.868,0,0,21,0,1,41.176472,2
Did not Graduate,1,0,0,1,28,0,0,80,1
Transferred,0,0,0,0,16,0,0,0,0
Graduated,1,0,0,1,27,0,0,100,0
Graduated,1,0,0.5,1,27,0,0,93.333344,2
Graduated,0,0,0,1,28,8,0,81.25,0
Graduated,1,1.294,0,0,26,10,0,100,0
Graduated,1,0.75099999,0,1,25,4,0,100,1
Graduated,0,0,0,0,26,0,0,100,0
Did not Graduate,1,2.648,0,1,25,4,0,73.333344,4
Graduated,0,1.724,0,1,27,0,0,100,2
Graduated,0,0,0,1,29,0,0,73.333344,0
Did not Graduate,1,2.7939999,0,0,24,0,0,100,0
Did not Graduate,1,3.5450001,0,0,22,0,0,100,1
Graduated,1,0,0,1,24,0,0,100,2
Graduated,0,0,2,0,21,0,0,77.777779,2
Graduated,1,4.7639999,0,1,24,0,0,100,0
Graduated,1,1.114,0,1,23,4,0,100,2
Graduated,1,1.294,0,1,21,0,0,100,2
Transferred,1,0.95999998,0,1,26,0,0,100,0
Did not Graduate,1,0,0,0,25,0,0,100,2
Graduated,1,0,0,1,29,39,0,100,0
Graduated,1,1.294,0,1,28,0,0,100,0
Graduated,1,0,0,0,23,0,0,100,0
Graduated,1,6.3429999,0,0,24,4,0,100,1
Did not Graduate,0,0,0,1,18,0,1,0,0
Graduated,1,6.5739999,0,1,26,0,0,100,0
Transferred,1,1.227,0,1,24,7,0,100,0
Graduated,1,3.244,0,1,25,0,0,100,0
Did not Graduate,1,1.294,0,0,21,0,1,100,0
Graduated,1,0,0,1,29,0,0,100,0
Graduated,1,2.0150001,0,1,25,0,0,100,2
Graduated,1,0,0,1,20,0,0,100,2
Graduated,1,0,0,1,24,0,0,100,0
Did not Graduate,0,0,0,1,15,0,1,42.85714,1
Graduated,1,2.7939999,0,1,32,4,0,100,0
Graduated,1,0,0,1,20,0,0,100,0
Graduated,1,0,1.5,1,29,0,0,100,0
Did not Graduate,0,0,0,1,16,0,1,0,0
Graduated,1,0,0,1,26,4,0,100,0
Graduated,1,0,0,1,23,0,0,94.117653,4
Did not Graduate,1,6.573,0,0,27,0,0,100,2
Graduated,1,0,0,1,27,7,0,100,0
Did not Graduate,0,2.438,0,0,22,0,0,100,0
Graduated,1,1.294,0,0,26,4,0,100,2
Graduated,1,0,0,1,19,0,0,100,1
Did not Graduate,0,5.3649998,0,1,26,0,0,75,1
Did not Graduate,1,0,0,1,30,0,0,100,1
Graduated,1,0,0,1,29,12,0,100,0
Graduated,1,0,0,1,24,0,0,100,3
Graduated,1,0,0,1,26,0,0,68.75,3
Graduated,1,0,1.5,1,29,0,0,100,0
Graduated,1,6.4520001,0,1,24,0,0,100,1
Graduated,1,2.71,0,1,21,0,0,100,1
Graduated,1,0,0,0,26,0,0,100,0
Did not Graduate,1,0,0,0,29,0,0,80,3
Graduated,0,0,0,0,15,0,1,73.333344,1
Graduated,1,6.3429999,0,0,15,0,0,73.333344,3
Graduated,0,0,0,1,21,0,0,100,0
Did not Graduate,1,0,0,1,25,0,0,66.666672,3
Graduated,0,0,0,0,24,0,0,100,0
Graduated,1,0,0,1,23,0,0,73.333344,3
Graduated,1,0,1.5,1,30,11,0,100,1
Transferred,1,0.73900002,0,1,26,7,0,100,0
Graduated,1,1.294,0,1,30,21,0,100,0
Graduated,1,5.7680001,0,1,28,16,0,100,0
Graduated,1,0,4,1,33,4,0,100,0
Graduated,1,3.5439999,0,1,26,4,0,100,2
Did not Graduate,1,3.5439999,0,1,26,0,0,100,1
Graduated,1,1.294,0,1,29,0,0,100,1
Did not Graduate,1,0,0,1,25,12,0,100,2
Graduated,1,3.2609999,0,0,20,0,1,100,0
Graduated,1,4.3870001,0,1,26,0,0,100,1
Graduated,1,0,0,0,26,6,0,100,2
Did not Graduate,1,6.1739998,0,1,21,0,0,100,1
Graduated,1,3.5439999,0,0,23,0,0,100,2
Did not Graduate,0,0,0,0,19,0,0,71.428574,1
Graduated,1,6.5409999,0,1,24,0,0,100,1
Did not Graduate,1,7.6360002,0,1,19,0,1,100,3
Graduated,1,0,1.5,1,33,11,0,100,0
Graduated,1,0,0,1,26,3,0,100,2
Graduated,1,5.6469998,0,0,26,0,0,100,3
Graduated,0,0,0,1,28,8,0,100,0
Graduated,1,2.7939999,0,1,27,0,0,100,0
Graduated,1,2.707,0,1,25,0,0,100,2
Graduated,1,7.0619998,0,1,27,0,0,73.333344,3
Graduated,1,7.2709999,0,0,24,0,0,100,1
Graduated,1,0,0,1,29,0,0,100,2
Graduated,1,0,1.5,1,28,12,0,100,0
Did not Graduate,1,0,0,1,29,4,0,75,4
Did not Graduate,1,3.2639999,0,1,27,0,0,76.470589,3
Graduated,0,0,1,1,22,0,0,100,0
Graduated,1,1.294,0,1,23,0,0,100,1
Graduated,1,0,1.5,1,27,0,0,100,0
Did not Graduate,1,0,0,0,20,0,0,100,0
Graduated,1,5.6869998,0,1,23,0,0,100,0
Graduated,0,0,0,1,23,0,0,100,0
Graduated,1,0,0,1,31,6,0,100,0
Graduated,1,0,0,1,26,0,0,100,1
Did not Graduate,1,0,0,1,28,7,0,100,1
Did not Graduate,1,3.5439999,0,1,26,0,0,38.46154,2
